Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., м.Жмеринка, вул.Магістральна, 8 а, прим.2",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"КА-48 смт Чернівці, вул.Святомиколаївська, 99",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-52 м. Могилів-Подільський, вул. Полтавська, 86",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-31 м. Могилів-Подільський, вул. Стависька, 65",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КФ А-58 м. Іллінці, вул. Європейська, 12",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-36 м. Липовець, вул. Василя Липківського, 32",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"м. Калинівка, вул.Незалежності, 55",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-133 м.Гайсин, вул.І.Франка, 80",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,1,"м. Погребище, вул.Б.Хмельницького, 61б",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-92 м. Іллінці, вул. Європейська, 18",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-5 Вінницька обл., м.Гайсин, Соборна 34-К",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-5 Вінницька обл., м.Гайсин, Соборна 34-К",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-86 смт Літин, вул. Соборна, 26",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"КФ А-98 м. Хмільник, проспект Свободи, 4",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"Вінницька обл., м.Хмільник, пр-т Свободи, 14- Ж Аптека №19",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",5,"Ф-140 смт Стрижавка, вул.Київська, 224, к.4, прим.53Н",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-140 смт Стрижавка, вул.Київська, 224, к.4, прим.53Н",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Вінниця, вул. Хмельницьке шосе,108",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-27 м. Вінниця, вул. Л. Ратушної, 24а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-27 м. Вінниця, вул. Л. Ратушної, 24а",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,4,"м. Вінниця, вул. Келецька, 66",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,5,"м. Вінниця, вул. Келецька, 66",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"м. Вінниця, вул. Келецька, 66",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,2,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,2,"Ф-17 м. Вінниця, вул. Нечая Д., 164-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Вінниця, вул.М.Оводова (Козицького), 51",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",5,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",4,"м.Вінниця, пр-т Коцюбинського, 37, прим.50",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-148 м. Вінниця, вул. Стрілецька, 7-Ж",Вінницька
"Симбікорт турбух. пор. дл/інг. 160мкг+4,5мкг 60д",-1,"Ф-1 м.Вінниця, пр-т Юності, 71",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Дніпропетровська обл., м.Кривий Ріг, пр-т 200-річчя Кривого Рогу, 24",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!201! Дніпропетровська обл., м.Кривий Ріг, вул.Свято-Георгіївська, 23",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!328! Дніпропетровська обл., м.Жовті Води, вул.Хмельницького, 7/1",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!126! Дніпропетровська обл., м.Жовті Води, вул.Ярослава Мудрого, 2-А",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, Донецьке шосе, 3, прим.43 (Аптека №2)",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.Байкальська, 80, прим.2",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Дніпро, вул.Шмідта, 2",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.Д.Яворницького, 125, прим.63а (Аптека №5)",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!60! м.Дніпро, вул.Калинова, 82-Б, частина прим.5",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!31!м.Дніпро, вул.Коробова, 2, прим.111",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",4,"м.Дніпро, вул.Набережна Перемоги, 86д Аптека №14 ""1 соціальна аптека""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"!238! Дніпропетровська обл., м.Дніпро, пр.О.Поля, 59",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.Калинова, 40/42, прим.7,10,11,12,14 Аптека №4)",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпропетровськ, вул.Телевізійна, 1",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!295! Дніпропетровська обл., м.Кам'янське, пр-т Героїв АТО, 15-В",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"!143! Дніпропетровська обл., м.Верхньодніпровськ, пр-т Поля, 10",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!129! Дніпропетровська обл., м.Кам'янське, пр-т Свободи, 84, прим.65",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"смт.Гвардійське, вул.Гагаріна,13   Аптека №4",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Павлоград, вул.Дніпровська,348-з   А/п №1 апт №11",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Новомосковськ, вул.Горького,10  Аптека №10",Дніпропетровська
Крестор таб. в/о 5мг №28 (14х2) бліст.,1,"м.Перещепине, вул.Калініна,10А  Аптека №6",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, вул.Поштова, 27/29",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, вул.Ситова, 4а Аптека №27",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",10,"69027, м.Запоріжжя, вул.Барикадная, 35-склад,",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!128! Дніпропетровська обл., м.Покров, вул.Центральна, 52/2",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Кіровоградська обл., м.Олександрія, пр-т Соборний, 11",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Кіровоградська обл., м.Олександрія, вул.Козацька, 47",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Кіровоградська обл., м.Олександрія, вул.Анатолія Кохана, 5-б",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Кіровоградська обл., м.Олександрія, вул.Першотравнева, 53",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Кіровоградська обл., м.Олександрія, пр-т Соборний, 98  Аптека №18",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"м.Чернівці, вул.Ентузіастів, 2-А",Чернівецька
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"м.Чернівці, вул.Комарова, 13-Б",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Чернівці, вул.Героїв Майдану, 85",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Івано-Франківська обл., м.Надвірна, вул.Грушевського, 11",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Івано-Франківськ, вул.Привокзальна, 9/2",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Івано-Франківськ, вул.Січових Стрільців, 26",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Івано-Франківськ, вул.Миколайчука, 2",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Івано-Франківськ, вул.Довга, 76",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Івано-Франківськ, вул.Галицька, 139а",Івано-Франківська
Крестор таб. в/о 10мг №28 (14х2) бліст.,30,"Закарпатська область, м. Хуст, вул. Небесної Сотні, 122-124/28",Закарпатська
Пульмікорт турбухалер пор. д/інг.100мкг 200доз,1,"вул.Центральна, 106, м.Новоселиця, Чернівецька обл.",Чернівецька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Чернівецька обл., Новоселицький р-н, с.Черленівка, вул. Головна, 75-1",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Чернівецька обл., Новоселицький р-н, с.Несвоя, вул. Центральна, 29",Чернівецька
Ксігдуо Пролонг таб. в/о 5мг/1000мг №28(4х7)бліст.,1,"КА-154 м.Кодима, вул.Соборна, 52",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"А18м.Одеса, вул.Святослава Ріхтера, 129",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"А3 м.Одеса, вул.Пантелеймонівська, 70",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Одеса, пров.Семафорний, 4 Аптека №46",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-121 Тернопільська обл., смт Микулинці, вул.Грушевського, 42",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Тернопіль, вул.15 Квітня, 4, прим.75",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Чортків, вул.Ст.Бандери, 23",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"А37 Одеська обл., м.Южне, вул.Ново-Білярська, 22/1 Б",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"А42 Одеська обл., м.Южне, пр-т Миру, 19-Є",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Миколаєвська обл.,смт.Врадієвка ,вул.Героїв Врадіївщини,121",Миколаївська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Одеська обл., Савранський район, смт Саврань, вул.Центральна, 60",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Одеська обл.,смт Іванівка,вул.Леніна,62",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Тернопільська обл., Кременецький р-н, м.Почаїв, вул.Возз'єднання, 1 	Аптека №1",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"Тернопільська обл., Підволочиський р-н, м.Скалат, вул.Грушевського, 9, прим.2, Аптека №1                                         ",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"Львівська обл., м.Пустомити, вул.Грушевського, 68",Львівська
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"Львівська обл., м.Стрий, пр-т Чорновола, 21",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"Львівська обл., Дрогобицький р-н, м.Борислав, вул.Коваліва, 33Б",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Львівська обл., м.Борислав, вул.Шевченка, 33",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Львівська обл., м.Стрий, вул.Зелена, 25",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Івано-Франківська обл., м.Калуш, вул.Стуса, 1/1",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Львівська обл., Пустомитівський р-н, с.Муроване, вул.Січових Стрільців, 34 Аптека №2",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Львів , вул.Зубрівська, 7а",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Львів, вул.Володимира Великого, 18",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Львів, вул.Широка, 64",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",4,"м.Львів, вул.гетьмана І.Мазепи, 1Б",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Львів, вул.Стрийська, 1",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"м.Львів вул.Величковського ,38",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Львів, м.Винники, вул.Винна гора, 5, прим.2",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Львів, пр-тЧервоної Калини, 57, КНП""4-А міська поліклініка м. Львова"" Дитяче поліклінічне відділення, вестибюль, 1-й поверх",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",5,"вул. Шевченка, 366В, м.Львів",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Львівська обл., м.Новояворівськ, вул.Степана Бандери,12",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Львівська обл., Яворівський р-н, м.Новояворівськ, вул.Шевченко Т., 2",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Новояворівськ, Яворівський р-н,м.Новояворівськ, вул.Шухевича,6А",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Львівська обл., м.Золочів, вул.Ст.Бандери, 3",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ вул.Сабурова,3  Аптека №10",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ пр-т. Свободи,26 В  Аптека №15",
Золадекс капс. 3.6мг шприц-аплікатор №1,2,"м.Київ, вул.Малишка Андрія, 1,  Аптека №1",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Київ, пр-т Голосіївський, 132 Аптека №32",
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"м.Київ, вул.Декабристів, 2а Аптека №39",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"м.Київ, вул.Декабристів, 2а Аптека №39",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Михайла Бойчука/Бастіонна, 1/2 Аптека №3 ""1 соціальна аптека""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Саксаганського, 33/35 Аптека №31",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Бульварно-Кудрявська, 21, прим.77 Аптека №46",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Богатирська, 30-А Аптека №21",
Золадекс капс. 3.6мг шприц-аплікатор №1,2,"м.Київ, вул.Ломоносова, 33/43, Національний інститут раку, консультативна поліклініка, 8-поверх  Аптечний пункт №21",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Драйзера Теодора, 8 Аптека №36",
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"м.Київ, вул.Велика Васильківська, 71/6",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Святошинська, 3",
Золадекс капс. 3.6мг шприц-аплікатор №1,3,"м.Київ, вул.Євгена Сверстюка, 4",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Саксаганського, 107",
Беталок Зок таб. в/о 100мг №30,1,"м.Київ, вул.Попудренка, 7б, літ.А",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Жолудєва, 4",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Київ, пр-т Бажана, 8",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, Майдан Незалежності, Торгівельний центр ""Глобус""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Бальзака Оноре де, 94",
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"вул.Освіти, 18, м.Київ.Аптека №1",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"Чернігівська обл., м.Ніжин, вул.Шевченка, 120, Аптека №3 ""Аптека нашого міста""",Чернігівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Березне, вул.Андріївська, 3",Рівненська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Сарни, вул.Белгородська, 31",Рівненська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-126 Житомирська обл., Олевський р-н, с.Жубровичі, вул.Шевченка, 9А",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-126 Житомирська обл., Олевський р-н, с.Жубровичі, вул.Шевченка, 9А",Житомирська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-134 смт Рокитне, вул.Руслана Дубовця, 1",Рівненська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Сарни, вул.Белгородська, 31",Рівненська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Луцьк, вул.Яровиця, 9, прим. 12",Волинська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-22 м.Чуднів, вул.Героїв Майдану, 167-Б/2",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",25,"м.Рiвне, вул.Киівська, 56в",Рівненська
Беталок Зок таб. в/о 25мг №14,2,"КФ А-109 Житомирська обл., Баранівський р-н, м.Баранівка, вул.Соборна, 2-А",Житомирська
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,2,"КФ А-109 Житомирська обл., Баранівський р-н, м.Баранівка, вул.Соборна, 2-А",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Рівне, вул.Гагаріна, 26",Рівненська
Беталок Зок таб. в/о 25мг №14,1,"КФ А-22 м.Чуднів, вул.Героїв Майдану, 167-Б/2",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"вул.Гагаріна, 16, м.Рівне",Рівненська
Крестор таб. в/о 10мг №28 (14х2) бліст.,3,"вул. Боярська, 4Б, с.Віта-Почтова, Києво-Святошинський р-н, Київська обл.",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Київська обл., Бучанський р-н, с.Софіївська Борщагівка, вул.Соборна, 120 Аптека №53",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Київська обл., м.Ірпінь смт Коцюбинське, вул.Бакала, 44-а, Аптека №1                              ",Київська
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Київська обл., Києво-Святошинський р-н, с.Софіївська Борщагівка, вул.Житня, 17, нежитлове приміщення 32 Аптека №1 ""Сімейна""",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Житомирська обл., смт Брусилів, вул.Лермонтова, 41, КУ ""Брусилівська ЦРЛ""",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"Київська обл., м.Ірпінь, вул.Мечникова, 108, прим.46,47   Аптека №12",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Київська обл., Вишгородський р-н, с.Нові Петрівці, вул.Героїв Майдану, 1",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-90 м.Тульчин, вул.Леонтовича, 33, прим.3",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт Теплик, вул. Незалежності, 31",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"смт Теплик, вул. Незалежності, 31",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-7 м.Тульчин, вул.Леонтовича, 108",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-63 м.Тульчин, вул. Леонтовича, 96а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., Теплицький р-н, с.Соболівка, вул.Леніна, 83 	Аптека №1",Вінницька
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"Вінницька обл., м.Тульчин, вул.Миколи Леонтовича, 35, прим.2",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., м.Тульчин, вул.Миколи Леонтовича, 35, прим.2",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-85 м.Тульчин, вул. Леонтовича, 37",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"КА-53 м. Бершадь, вул. Ярослава Мудрого, 16-А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт Томашпіль, вул. Кирила Стеценка, 5",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-39 смт Крижопіль, вул. Соборна, 4",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"Ф-51 м. Вінниця, вул. 600-річчя, 32а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-51 м. Вінниця, вул. 600-річчя, 32а",Вінницька
Беталок Зок таб. в/о 25мг №14,6,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-6 м.Вінниця, вул.Воїнів-Інтернаціоналістів, 2 Г",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Вінниця, вул. Хмельницьке шосе, 75",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Вінниця, пр-т Юності, 20/73",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-108 м. Вінниця, вул. Келецкая, 105",Вінницька
