Область,Товар,Количество
КИЕВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,211
КИЕВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,204
КИЕВСКАЯ,Тагріссо табл. в / пл.об. 80мг №30 (10х3) блістер,3
КИЕВСКАЯ,Тагріссо табл. п / в / пл.об.б. 80мг №30 (10х3) блістер Акція,6
КИЕВСКАЯ,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,6
КИЕВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,2560
КИРОВОГРАДСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,2
КИРОВОГРАДСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,8
КИРОВОГРАДСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,9
КИРОВОГРАДСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,1
КИРОВОГРАДСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,21
КИРОВОГРАДСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,24
КИРОВОГРАДСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,2
КИРОВОГРАДСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),2
КИРОВОГРАДСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),2
КИРОВОГРАДСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,14
КИРОВОГРАДСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,11
КИРОВОГРАДСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),19
КИРОВОГРАДСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,17
КИРОВОГРАДСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,3
КИРОВОГРАДСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,1
КИРОВОГРАДСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,145
КИРОВОГРАДСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,269
КИРОВОГРАДСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,1
КИРОВОГРАДСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,121
КИРОВОГРАДСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,23
КИРОВОГРАДСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,18
КИРОВОГРАДСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,61
ЛЬВОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,52
ЛЬВОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,160
ЛЬВОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,164
ЛЬВОВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,6
ЛЬВОВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,14
ЛЬВОВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,371
ЛЬВОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,3
ЛЬВОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,39
ЛЬВОВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,8
ЛЬВОВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,20
ЛЬВОВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,2
ЛЬВОВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),31
ЛЬВОВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),221
ЛЬВОВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,171
ЛЬВОВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,295
ЛЬВОВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),282
ЛЬВОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,285
ЛЬВОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,50
ЛЬВОВСКАЯ,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,1
ЛЬВОВСКАЯ,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,1
ЛЬВОВСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,2
ЛЬВОВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,43
ЛЬВОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,31
ЛЬВОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,17
ЛЬВОВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,294
ЛЬВОВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,1142
ЛЬВОВСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,256
ЛЬВОВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,133
ЛЬВОВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,88
ЛЬВОВСКАЯ,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,1
ЛЬВОВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,839
НИКОЛАЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,4
НИКОЛАЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,25
НИКОЛАЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,28
НИКОЛАЕВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,3
НИКОЛАЕВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,49
НИКОЛАЕВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,1
НИКОЛАЕВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,11
НИКОЛАЕВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,2
НИКОЛАЕВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),7
НИКОЛАЕВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),2
НИКОЛАЕВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,24
НИКОЛАЕВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,30
НИКОЛАЕВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),22
НИКОЛАЕВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,52
НИКОЛАЕВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,16
НИКОЛАЕВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,6
НИКОЛАЕВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,1
НИКОЛАЕВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,1
НИКОЛАЕВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,90
НИКОЛАЕВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,242
НИКОЛАЕВСКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,1
НИКОЛАЕВСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,15
НИКОЛАЕВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,10
НИКОЛАЕВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,9
НИКОЛАЕВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,192
ОДЕССКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,9
ОДЕССКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,71
ОДЕССКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,236
ОДЕССКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,209
ОДЕССКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,4
ОДЕССКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,23
ОДЕССКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,189
ОДЕССКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,5
ОДЕССКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,111
ОДЕССКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,15
ОДЕССКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,57
ОДЕССКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,1
ОДЕССКАЯ,Касодекс® табл. в / пл.об.150мг N28 *,1
ОДЕССКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),53
ОДЕССКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),40
ОДЕССКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,117
ОДЕССКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,169
ОДЕССКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),232
ОДЕССКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,289
ОДЕССКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,96
ОДЕССКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,7
ОДЕССКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,25
ОДЕССКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,22
ОДЕССКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,23
ОДЕССКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,442
ОДЕССКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,1519
ОДЕССКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,5
ОДЕССКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,3
ОДЕССКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,308
ОДЕССКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,75
ОДЕССКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,91
ОДЕССКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,945
ПОЛТАВСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,3
ПОЛТАВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,8
ПОЛТАВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,44
ПОЛТАВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,33
ПОЛТАВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,5
ПОЛТАВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,3
ПОЛТАВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,177
ПОЛТАВСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,1
ПОЛТАВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,36
ПОЛТАВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,6
ПОЛТАВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,2
ПОЛТАВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),18
ПОЛТАВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),22
ПОЛТАВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,67
ПОЛТАВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,67
ПОЛТАВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),97
ПОЛТАВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,125
ПОЛТАВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,40
ПОЛТАВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,15
ПОЛТАВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,9
ПОЛТАВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,14
ПОЛТАВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,297
ПОЛТАВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,708
ПОЛТАВСКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,1
ПОЛТАВСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,764
ПОЛТАВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,53
ПОЛТАВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,70
ПОЛТАВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,339
РОВЕНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,17
РОВЕНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,50
РОВЕНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,36
РОВЕНСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,2
РОВЕНСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,1
РОВЕНСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173
РОВЕНСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,25
РОВЕНСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,4
РОВЕНСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,9
РОВЕНСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,2
РОВЕНСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),3
РОВЕНСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),3
РОВЕНСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,17
РОВЕНСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,37
РОВЕНСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),49
РОВЕНСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,55
РОВЕНСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,12
РОВЕНСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,2
РОВЕНСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,4
РОВЕНСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,4
РОВЕНСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,64
РОВЕНСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,517
РОВЕНСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,228
РОВЕНСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,19
РОВЕНСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,17
РОВЕНСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,184
СУМСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,17
СУМСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,88
СУМСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,36
СУМСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,1
СУМСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,16
СУМСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,5
СУМСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,52
СУМСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,3
СУМСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,7
СУМСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,1
СУМСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),3
СУМСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),19
СУМСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,27
СУМСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,47
СУМСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),41
СУМСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,23
СУМСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5
СУМСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,4
СУМСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,4
СУМСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,11
СУМСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,71
СУМСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,350
СУМСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,233
СУМСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,48
СУМСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,19
СУМСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,114
ТЕРНОПОЛЬСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,7
ТЕРНОПОЛЬСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,219
ТЕРНОПОЛЬСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,79
ТЕРНОПОЛЬСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,1
ТЕРНОПОЛЬСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,76
ТЕРНОПОЛЬСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,1
ТЕРНОПОЛЬСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,91
ТЕРНОПОЛЬСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,8
ТЕРНОПОЛЬСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,18
ТЕРНОПОЛЬСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,4
ТЕРНОПОЛЬСКАЯ,Касодекс® табл. в / пл.об.150мг N28 *,1
ТЕРНОПОЛЬСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),2
ТЕРНОПОЛЬСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),8
ТЕРНОПОЛЬСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,29
ТЕРНОПОЛЬСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,41
ТЕРНОПОЛЬСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),43
ТЕРНОПОЛЬСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,101
ТЕРНОПОЛЬСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,9
ТЕРНОПОЛЬСКАЯ,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,3
ТЕРНОПОЛЬСКАЯ,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,3
ТЕРНОПОЛЬСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,3
ТЕРНОПОЛЬСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,3
ТЕРНОПОЛЬСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,6
ТЕРНОПОЛЬСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,79
ТЕРНОПОЛЬСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,464
ТЕРНОПОЛЬСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,1
ТЕРНОПОЛЬСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,206
ТЕРНОПОЛЬСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,40
ТЕРНОПОЛЬСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,38
ТЕРНОПОЛЬСКАЯ,Тагріссо табл. в / пл.об. 80мг №30 (10х3) блістер,1
ТЕРНОПОЛЬСКАЯ,Тагріссо табл. п / в / пл.об.б. 80мг №30 (10х3) блістер Акція,2
ТЕРНОПОЛЬСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,157
ХАРЬКОВСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,2
ХАРЬКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,28
ХАРЬКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,90
ХАРЬКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,73
ХАРЬКОВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,3
ХАРЬКОВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,3
ХАРЬКОВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,205
ХАРЬКОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,23
ХАРЬКОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,78
ХАРЬКОВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,2
ХАРЬКОВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,5
ХАРЬКОВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,12
ХАРЬКОВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер Смотка 2 уп *,2
ХАРЬКОВСКАЯ,Касодекс® табл. в / пл.об.150мг N28 *,3
ХАРЬКОВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),25
ХАРЬКОВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),32
ХАРЬКОВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,96
ХАРЬКОВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,119
ХАРЬКОВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),183
ХАРЬКОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,245
ХАРЬКОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,59
ХАРЬКОВСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,5
ХАРЬКОВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,41
ХАРЬКОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,2
ХАРЬКОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,6
ХАРЬКОВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,235
ХАРЬКОВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,622
ХАРЬКОВСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,6
ХАРЬКОВСКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,2
ХАРЬКОВСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,235
